Date,Tweet
2022-01-05 11:18:14+00:00,"nesa! Kak yang pernah daftar snmptn dr smk akuntansi bisa rep ga mau nanya nanya ni soal nilai rata rata rapot, terima kasih"
2022-01-05 11:15:01+00:00,"ptn! minta saran nya ya
pil 1 : psikologi unesa
pil 2 : psikologi um 
bundir apa ngga ya"
2022-01-05 11:09:34+00:00,"nesa! waktu maba kan matkul yg diambil sistem paket, kalo udah semester selanjutnya tuh pake sistem paket lagi ga ya? makasii"
2022-01-05 10:21:54+00:00,"unesa sasindo, pil 2 enaknya mana ya weh? tpi sasindo jugs"
2022-01-05 09:40:03+00:00,Unesa membuka pendaftaran mahasiswa baru jalur alih jenjang D3 ke S1 pada semester genap tahun akademik 2021/2022. Ini syaratnya. https://t.co/Zjs0OrOOzc
2022-01-05 09:24:29+00:00,unesa blm ada ilkom anjjjir trnyta
2022-01-05 08:58:08+00:00,nesa! Refund ukt msh blm turun yaah?
2022-01-05 08:22:17+00:00,"Nesa! Muk curhat, cape banget ngefollow up-in banyak orang demi insentif prestasi😭 napa harus ada masalah mulu padahal tinggal cair😭"
2022-01-05 07:42:04+00:00,"nesa! Info beasiswa di Unesa dong, maa
kasi"
2022-01-05 06:55:22+00:00,nesa! ada yg pernah TEP online? pas tesnya yg harus disiapin apa aja ya? ceritain dong
2022-01-05 06:54:15+00:00,nesa! cari tempat mangang di mana ya?😭 takut banget nanti gimana soalnya udh masuk masa magang. mau ikut magang merdeka tp udh pesimis duluan:(( dan lagi di magang merdeka ngga ada perusahaan yg aku mau tuju soalnya. makasii yg udh rep!
2022-01-05 06:41:20+00:00,jadi bingung.. pilih ub apa unesa
2022-01-05 06:39:10+00:00,"Yang mau beli offline juga bisa kok, kebetulan akunya lagi di sekitaran danau Unesa, ntar bisa ngobrol"" atau sharing"" pengalaman. Buruan kesini aku tunggu😊 https://t.co/7SJNSX1Jyc"
2022-01-05 06:12:08+00:00,"nag unesa biyen 500ewu/semester :(
nontok iki gak nok opo opo e ya rabb https://t.co/lWOed8Hpnw"
2022-01-05 05:41:28+00:00,nesa! rek smt 4 ngene oleh melok program merdeka belajar seng opo yo? magang ta opo
2022-01-05 05:31:25+00:00,"Kalo mau ugm sama ub, keberatan gasih?

Atau enaknya ugm sama unesa?"
2022-01-05 04:49:59+00:00,PPKM lagi genk https://t.co/EQLjfX77Lc
2022-01-05 02:20:32+00:00,nesa! tep di unesa iku kamera e emang diawasi ta
2022-01-05 01:52:17+00:00,"nesa! rek kalo mau ikutan tep lagi gimana, apa bayar lagi? trs kalo lolospun nilai terendah tertinggi brp biar bisa diambil sertifnya"
2022-01-05 01:50:18+00:00,-rek ada yang dari unesa? smt 5 keatas dong
