Mon Nov 06 10:06:29 +0000 2023,1.72E+18,@bawango @jalur5_ @lrtjabodebek cintai produk dalam negeri meski produknya begini,0,0,0,0,in,1.07E+18,1.72E+18,hugeduckk,https://twitter.com/hugeduckk/status/1721469090190258334,,,,,,,,,,,
Mon Nov 06 09:00:55 +0000 2023,1.72E+18,@_caessa_ @biasalahanakmud @jalur5_ @lrtjabodebek @__rrcm 😭,0,1,0,0,qme,271995688,1.72E+18,virpisries,https://twitter.com/virpisries/status/1721452590406537516,,,,,,,,,,,
Mon Nov 06 08:01:56 +0000 2023,1.72E+18,KCI LRT Jabodebek LRT Jakarta BI OJK Bank penyedia eMoney di Indonesia: Tap kartu cepet jalan cepet atau lari sambil tap itu buat apa?,0,1,0,0,in,1.20E+18,1.72E+18,suicakaado,https://twitter.com/suicakaado/status/1721437747091738895,,,,,,,,,,,
Mon Nov 06 07:47:18 +0000 2023,1.72E+18,PT Kereta Api Indonesia (Persero) atau KAI sudah memperbaiki atap bangunan penghubung Stasiun LRT Jabodebek Cawang yang jebol imbas tingginya curah hujan Sabtu (4/11) malam WIB. #MostUpdate1058 https://t.co/qGNSEp1W3l,0,0,0,1,in,85805755,1.72E+18,most1058,https://twitter.com/most1058/status/1721434066950787363,,,,,,,,,,,
Mon Nov 06 07:10:00 +0000 2023,1.72E+18,Keluhan Penumpang LRT Jabodebek Masalah Waktu Tunggu Lama Tak Kunjung Usai  Waktu tunggu LRT Jabodebek masih 30 menit hingga 1 jam. Para penumpang pun mengeluh karena masalah ini tak kunjung selesai. detikers ada yang merasakannya juga?  &gt &gt  https://t.co/jveLvhOGuJ  #detikcom,1,2,3,5,in,69183155,1.72E+18,detikcom,https://twitter.com/detikcom/status/1721424677162320000,,,,,,,,,,,
Mon Nov 06 07:06:16 +0000 2023,1.72E+18,@obor_oddiebor @myhppylittlepil @jalur5_ @lrtjabodebek Kyknya konsorsium bumn (cmiiw),0,0,0,1,in,8.18E+17,1.72E+18,yahee_r,https://twitter.com/yahee_r/status/1721423739085336808,,,,,,,,,,,
Mon Nov 06 06:37:28 +0000 2023,1.72E+18,Jabodebek memiliki Layanan LRT yang semakin memudahkan mobilitas penduduk. Bagi Anda yang ingin menggunakan LRT berikut panduan lengkapnya termasuk rute dan tarif. https://t.co/xLRtdS2BFr,0,1,0,5,in,18129942,1.72E+18,tempodotco,https://twitter.com/tempodotco/status/1721416489255997564,,,,,,,,,,,
Mon Nov 06 06:33:41 +0000 2023,1.72E+18,Akhir-akhir ini sejumlah penumpang LRT Jabodebek mengeluhkan waktu tunggu yang panjang. Bahkan para penumpang terpaksa menunggu kereta LRT hingga hampir satu jam. Berikut pantauan tim lapangan CNN Indonesia. https://t.co/ns6OyEQkD6 https://t.co/GXv3Pi3FxA,0,0,0,0,in,3306771829,1.72E+18,CNNIDdaily,https://twitter.com/CNNIDdaily/status/1721415539828871572,,,,,,,,,,,
Mon Nov 06 06:25:14 +0000 2023,1.72E+18,lrt jabodebek stop bikin gw nangis,0,0,0,0,in,9.14E+17,1.72E+18,namjoonasi,https://twitter.com/namjoonasi/status/1721413413728026639,,,,,,,,,,,
Mon Nov 06 06:23:33 +0000 2023,1.72E+18,Stasiun LRT Jabodebek dan Kereta Cepat Sama-Sama Kebocoran https://t.co/vpex1ScicE,0,0,0,0,in,1.33E+18,1.72E+18,bisnisindo_id,https://twitter.com/bisnisindo_id/status/1721412989440737368,,,,,,,,,,,
