aram,-3
menimangkan,-3
jelingah,-3
dengus,-3
dengut,-3
berlaga,-4
nasihat,-3
kerawanan,-4
murup,-3
lasat,-5
congor,-3
menegapkan,-3
sederhana,-5
jentaka,-5
macis,-4
amor,-4
dedak,-3
perosok,-4
jereket,-3
salin,-3
beranak pinak,-3
menggelorakan,-4
menjemukan,-3
sedat,-4
bonggol,-4
sebelah,-4
bersusila,-4
berliku-liku,-4
bersaba,-3
penyatuan,-4
runtun,-5
meredam,-4
mendoa,-3
geser,-5
birokrat,-3
(barang) bekas,-4
memihakkan,-4
elusan,-3
tegar,-4
huni,-3
datang hati,-5
gegabah,-5
instruksi,-3
sadis,-5
bertelingkah,-4
sarak,-3
kandas,-5
berlarian,-5
mendompleng,-3
menitis,-3
berkisar,-3
loakan,-4
dekaden,-5
bukti,-3
berkemih,-3
menabrak,-3
dungkul,-4
sia-sia,-4
kerok,-3
potol,-4
aliansi,-4
riba,-3
luak,-3
hantam,-5
penanda,-3
menjapit,-4
merosok,-3
berkeberatan,-4
ujung tangan,-4
encok,-5
otek,-4
mulut rambang,-4
anggara,-4
merecok,-4
penindihan,-4
gili-gili,-3
berurine,-3
pengebat,-3
mendedahkan,-4
armada,-5
terkutuk,-5
memenangi,-5
gamang,-3
merembes,-3
melemah,-3
kesetanan,-3
melepaskan,-5
vakum,-3
menolak,-4
faring,-5
bergemuruh,-3
ramai,-5
pelontar,-3
berhanyut,-4
bersanggit,-5
esensial,-4
menghabiskan,-4
menampakkan,-4
bercumbu,-4
tidak keruan,-3
duel,-4
curang,-5
lewat batas,-4
tengak,-4
dampak,-3
tengkar,-4
meragukan,-3
layu,-4
balela,-4
memergoki,-5
merua,-4
cacau,-5
inspirasi,-3
beramuk-amukan,-4
setuju,-3
petir,-3
berbelit-belit,-4
lusuh,-5
galaba,-5
bertunjangkan,-4
pental,-3
paruh,-3
darurat,-4
geming,-4
hangit,-5
gepok,-5
kesentuhan,-3
kungkungan,-3
ajar,-3
luwes,-4
acoan,-5
merundung,-4
parut,-3
panar,-3
oyok,-3
cingangah,-4
bertele-tele,-3
menyerap,-3
hilang pikiran,-4
getol,-3
mengebiri,-3
merapatkan,-3
batil,-4
ketelanjuran,-5
siksaan,-5
setip,-3
kalimantang,-3
salah urat,-3
menempati,-3
bermotif,-3
jeritan,-5
berziarah,-4
adimarga,-4
menyolang,-3
terkelik,-3
berogak-ogak,-4
pusu,-4
terpotong,-3
empedal,-5
memindahkan,-5
cecunguk,-5
tulah,-3
barkas,-5
bercanda,-4
iring-iringan,-4
memalak,-4
kumandang,-3
turunan,-3
kacrek,-3
ametis,-4
segi,-4
menangkap tangan,-5
batalion,-5
berasimilasi,-3
reyot,-3
terjumpa,-4
kemasygulan,-3
bengok,-4
hujung,-3
inklinasi,-3
menasihatkan,-3
mengistimewakan,-3
berpencar,-5
huma,-4
demen,-3
memperolahkan,-4
menyentak,-5
sakit hati,-3
jeri,-3
gabungan,-5
tertawan,-3
tersisih,-5
membangunkan,-4
depak,-3
bertabrakan,-4
halilintar,-3
cekung,-4
memecatkan,-5
pelet,-3
konkretisasi,-3
menyeramkan,-4
persengketaan,-4
omong,-4
mendalam,-3
mengejawantah,-3
berbondong-bondong,-3
menjepit leher,-4
tebaran,-3
menyerobot,-5
menghamuni,-5
tidak bekerja,-4
jerum,-4
skors,-3
cetera,-4
melesap,-3
tertancap,-3
detektif,-3
lompong,-5
berpucuk,-4
beralasan,-4
memakan,-4
cimeng,-3
baku,-3
menjotos,-3
rasionalitas,-4
bangsal,-3
meraban,-4
memaling,-5
menular,-4
saya,-3
jilid,-5
bidas,-5
mencerat,-3
bercekit,-4
pembungkus,-3
