User,Isi konten,preprocessed,Date
Hasanan80891621,,"contoh pejabat otoriter.rakyat kritik di penjara,pejabat korupsi,ikut menikmati.",2023-06-26 22:48:56+00:00
WF10051729,,"gagasan anies terbukti baik di dki cuma periode,gagasan jokow banyak yg tdk terbukti di idn yg hampir periode,korupsi kkn merajalela hukum tebang pilih dll",2023-06-26 22:47:53+00:00
ibnufauz,,orang umum boleh saja berprasangka macam krn orang di negara kita tidak sedikit yg melakukan tindakan kotor/korupsi.,2023-06-26 22:47:25+00:00
Hasanan80891621,,asal dananya tak di korupsi bisa.,2023-06-26 22:44:33+00:00
FreddyAdi2,,kpk semakin kuat dimana pemberantasan korupsi tak pandang bulu https://t.co/rqfxersagx,2023-06-26 22:38:35+00:00
machrilmachril1,,"kami ini bukan korban gempa bumi memang korban yang disegaja dan direncanakan, pertama di korupsi lalu dipotong uang tabungan kami %, sisa diangsur/dicicil tahun jika mau cepat angsuran ya cuma tahun pokoknya dipotong dulu atau %. begitu budimannya manusia tsb.",2023-06-26 22:36:57+00:00
jokoaji___,,mau tahun full mangan turu mangan turu dapet gaji per tahun? yuk korupsi…. biaya admin murah cuma juta. kapan lagi dapet passive income segede ini? yuk korupsi sekarang! https://t.co/wvuxzc jsp,2023-06-26 22:34:37+00:00
jondiljonson,,owner perusahaan ditangkap jgn sebatas blokir rekening pengendali rekening segera di proses hukum. kejagung secepatnya memeriksa happy hapsoro agar korupsi tuntas penyidik kejagung blokir aset dan rekening perusahaan milik suami puan maharani https://t.co/kgwdobp,2023-06-26 22:34:22+00:00
MulyantoAdi3,,"jangan lupa kalo sudah presiden brantas korupsi,undang hukuman mati +miskinkan. kalo berjalan inshaa allah indonesia maju",2023-06-26 22:26:45+00:00
RondhiMohammad,,dipenjara karena politik lebih terhormat daripada dipenjara karena korupsi ...... !!,2023-06-26 22:25:38+00:00
Legislator75,,_lira dari awal sdh diketahui kmna arah kasus hkm ini...cuma mnggertak nasdem sj...sangkaan hkmnya jg ringan..walau akhirnya bocor jg ke anak mantu mak banteng yg trnyata ikut makan uang korupsi bts..ayoo kejaksaan tangkap jg tuh ownernya..,2023-06-26 22:24:15+00:00
writerfreax,,"ucap kelompok yg saat oposisi banyak cakap ke pemerintah, juara pula korupsi padahal oposisi saya heran siapa yg jadi senatornya disini pemimpin negaranya siapa yg banyak cakap siapa apa pola kepemimpinan kita sudah bergeser ke seperti ini",2023-06-26 22:23:12+00:00
pmparmudji,,_pelssy pemerintah harus bertanggung jawab lembaga yg dibentuknya bernama kpk/komisi pemberantasan korupsi ko begini adanya miris keadilan negri ini,2023-06-26 22:20:14+00:00
indra_cahya6713,,"sita harta pejabat pajak, bea cukai dan pnbp yg terbukti korupsi. insha allah mayan bu buat nutupin kekurangannya. selebihnya sama cuma bantu doa ya bu",2023-06-26 22:18:26+00:00
Pelangi189,,undang-undang perampasan aset adalah salah satu instrumen penting dalam menghadapi parahnya korupsi indonesia cc presiden _ri _ri _perjuangan,2023-06-26 22:17:25+00:00
PanjiKetawang99,,habis di korupsi pak de,2023-06-26 22:15:29+00:00
brammuara82,,"_achmadi tunggu tunggu ini rakyat yg mana? ngimpinya tuh loh. utang bengkak, korupsi dan impor sana sini apa itu bukan suatu sikap radikal yg membabi buta...coba tuh cek sirkuit mandalika yg pakai dana apbn dan rugi rugi triliunan kok ga di audit dan kok ga ada indikasi korupsi??",2023-06-26 22:15:28+00:00
AdeSury47801562,,bewok anak buahnya yg korupsi yg di salahkan pemerintah dimana akal sehatnya wok....,2023-06-26 22:12:01+00:00
sir_usil,,harusnya dihukum mati karena merusak citra _ri sebagai lembaga anti-korupsi tapi banyak oknum yang doyan korupsi. https://t.co/oyvo czo,2023-06-26 22:11:12+00:00
kadrun_pekok,,_enjeull pantas saja semua kasus korupsi si yaman anies ini.. semua ga ada yg berani bertindak+kpk.. juga.. yg terima hibah,2023-06-26 22:09:26+00:00
