User,Isi konten,preprocessed,Date
wulandari_erian,,"apalagi ada bau korupsi di kemenhan karena beli jet rongsok lumayan buat biaya nyapres dan food estate gagal lagi apa prestasi wowo kecuali ndompleng nama pak jokowi,,ktnya sih beri yg terbaik ternyata beli bekas bocor bocor https://t.co/a kalrkz",2023-06-22 12:26:15+00:00
Sabdanewscom,,"ajak kades tidak korupsi, kejari gresik berikan penyuluhan hukum pada desa di kecamatan cerme https://t.co/li tjmr bk",2023-06-22 12:25:15+00:00
0d6JK0B3,,"_ri dpr kita kan melempem, mana berani mereka sahkan ruu perampasan aset koruptor, padahal ini salah satu upaya pemerintah menekan angka korupsi https://t.co/meab xxqia",2023-06-22 12:25:00+00:00
yarravalle,,"menurut saya mending demo untuk menghukum para koruptor seumur hidup/mati plus dimiskinkan, ini akan memberikan dampak yang sangat baik di pemerintahan dan semua lini, begitu masifnya korupsi membuat ratusan trilyun hilang di tangan koruptor",2023-06-22 12:23:40+00:00
BukanJakaJack,,"pssi akan memastikan dan menjaga staf, pemain dan wasit tdk akn ada yg korupsi!!! rp bella nanas kabari🪽klo mp rendy gojek ve you🫵 so much https://t.co/f deqsvkjn",2023-06-22 12:23:13+00:00
tobhas1,,korupsi koq gak habis-habis ya.. __ selamat malam jum'at rendy syahnaz halilintar,2023-06-22 12:22:08+00:00
PraszHUANG,,"bukannya ini karma, dulu juga dia pakai topeng agama, trus orang dihukum deh! sekarang kalo pake hukum korupsi, kayaknya sih sah aja, dgn catatan bila terbukti! anies baswedan jadi sasaran hajar, ujang komaruddin: ini yang membuat hukum kita tebang pilih https://t.co/bticjpqspw",2023-06-22 12:21:20+00:00
orideos,,"saya aminkan kalau memang tak korupsi. tapi apakah bisa di jaman terbuka info sekarang, seseorang di tsk kan tanpa bukti",2023-06-22 12:20:58+00:00
Rudieanto96,,"jadi pingin ikutan korupsi nihhh, kalo ketangkap bilang aja khilaf",2023-06-22 12:19:30+00:00
yarravalle,,"mending people power untuk mendorong pemerintah untuk menghukum para koruptor seumur hidup/mati plus dimiskinkan, ini akan memberikan dampak yang sangat baik di pemerintahan dan semua lini, begitu masifnya korupsi membuat ratusan trilyun hilang di tangan koruptor",2023-06-22 12:18:53+00:00
SyukurGea12,,"korupsi pake kredibilitas segala, emang koruptor ada harga dirinya...?? di luar negeri rata hukumannya hukuman mati, apalagi yg namanya kredibilitas gak berlaku untuk koruptor",2023-06-22 12:17:24+00:00
_palungmariana,,"tentu, pengusutan polri pada kebocoran dokumen penyelidikan kpk dgn di antaranya memuat informasi nama-nama pelaku korupsi tukin di lingkungan kemenesdm oleh ketuanya sendiri firli bahuri akan membuat ketegangan hubungan kpk-polri. https://t.co/q ut bq",2023-06-22 12:17:10+00:00
Bey_Ddavin,,menawarkan koalisi perubahan tapi korupsi t. rek laku kumaha?,2023-06-22 12:17:08+00:00
KWhessy,,"di buktikan saja nanti. jika tidak korupsi mengapa harus takut. kalau korupsi mengapa harus di lindungi. kok ngancem people power terus, emang ada berapa pengikut sih?",2023-06-22 12:15:08+00:00
SyukurGea12,,"tanyakan au lah, dia pasti tau. kalau ada selain dia siapa lagi, silakan bicara. yg jelas disini au itu merusak citra partai demokrat gara dia korupsi dana hambalang...",2023-06-22 12:14:52+00:00
KemenPU,,"kementerian pupr terus berupaya untuk melakukan kegiatan pencegahan korupsi, salah satunya melalui kegiatan pembangunan budaya integritas yang diinisiasi oleh dharma wanita persatuan (dwp) kementerian pupr. https://t.co/sbaqhkuq",2023-06-22 12:14:14+00:00
diamantEUNCHAE,,halo bnn ada yang korupsi,2023-06-22 12:12:59+00:00
Pepera_Papua69,,korupsi memang luar biasa di nkri. kitong harus cerdas pilih pemimpin dan wakil dpr nanti di jangan pilih koruptor dan suka tipu-tipu rakyat.,2023-06-22 12:12:28+00:00
kurni35250,,"_didu apa urusan nya untung rugi dengan korupsi.....begok !!! nama nya investasi butuh waktu utk balik modal, klu korupsi itu maling yg harus di tangkap, pala udah botak malah makin goblog !!!",2023-06-22 12:12:05+00:00
SimonRPurba,,"musni, kasus korupsi tidak bisa diselesaikan dengan do'a. karena allah ga akan melindungi 'maling'...",2023-06-22 12:10:59+00:00
PoelSck,,benarkah anies baswedan segera jadi tersangka korupsi formula https://t.co/egcwwikgoe,2023-06-22 12:10:50+00:00
ariefwick,,"_tv _ri pas dengan kepanjangannya, komisi pemberantasan korupsi, mungkin oknum tahunya kalau pemberantasan korupsi dapet komisi gitu kali ya...",2023-06-22 12:10:38+00:00
asaterang,,wasit tidak bisa korupsi.,2023-06-22 12:10:19+00:00
putucangkiriku,,halah para curut itu hanya berani ngancam..para curut itu dibayar oligarki dari uang hasil korupsi..binatang,2023-06-22 12:10:18+00:00
bakanosan1,,"bukannya itu untuk menghindari jalan berlubang yah, karena emang jalannya jarang diperbaiki abis ama korupsi...",2023-06-22 12:05:48+00:00
GobezMia,,"kalau korupsi di sana, hukumannya apa yaa..??",2023-06-22 12:05:09+00:00
ignatiusebs,,"pak mahfud md, cocok buat pemberantasan korupsi.",2023-06-22 12:04:32+00:00
Nasionalis88,,ganjar seriu mencegah korupsi https://t.co/hiyfmoolt,2023-06-22 12:03:47+00:00
uniang_kamek,,lah katanya pemberantasan korupsi merajalela..,2023-06-22 12:02:30+00:00
kejariketapang,,kamis juni sehubungan dengan pelaksanaan reformasi birokrasi kejaksaan republik indonesia dan aksi strategi nasional pencegahan korupsi tahun melalui pembangunan zona integritas menuju wilayah bebas dari korupsi (wbk) dan wilayah https://t.co/owu qovklv,2023-06-22 12:01:22+00:00
kamekpalala,,"pantesan indonesia belum bisa menjadi negara maju yg maju cuman hutang, korupsi, harga bbm, harga kebutuhan lainnya, pengangguran, kemiskinan, kegaduhan, ketidakadilan, kkn dll. https://t.co/k ylasxgs",2023-06-22 12:00:46+00:00
TamongPanji,,"terang benderang tidak ada itu korupsi di formula e. yang bener itu _ri selidiki sirkuit mandalika merugikan negara rp. t, hayo audit sirkuit mandalika.",2023-06-22 12:00:41+00:00
SimAbdi77,,"tapi peringkusan bengini biasanya hanya dilakukan bila si tersangka pribumi. klo non pri, langka yang diringkus, diborgol, apalagi di ekspos keluarganya. boro juga disikat harta yang mereka korupsi. entah kenapa.",2023-06-22 11:59:52+00:00
SX50569,,_tv ya masuk asn saja kan nyogok. makanya korupsi. wkwkwkwk,2023-06-22 11:59:38+00:00
RDjafis,,hah? sebanyak itu korupsi tapi penjara cuma segitu? belum remisi. pantas pada senang korupsi.,2023-06-22 11:58:51+00:00
jenqriv,,"jadi keinget kepsek smp, duit mulu anjir tapi bangunan masih banyak yang bocor dan rusak. ternyata korupsi",2023-06-22 11:58:04+00:00
wildysetiabudi,,"“karena dia tidak korupsi”, tau dari mana musni? udah jadi kpk skrg?",2023-06-22 11:57:29+00:00
bjorkakw21,,"@__anakkolong _perjuangan mas ganjar bisa korupsi ktp,mas ganjar bisa lari lari keliling propinsi,saya menambahkan",2023-06-22 11:57:10+00:00
kumparan,,kejari bandar lampung menahan empat tersangka kasus dugaan korupsi di salah satu bank bumn di bandar lampung terhadap pembelian kios di pasar gudang lelang tahun https://t.co/qmjk ssjir,2023-06-22 11:57:04+00:00
aiyubilyas,,"pak kami ngak percaya. kl polisi ngak minta komisi kepala desa, bupati/walikota dan gubernur, ngak mungkin indonesia seperti ini hancur. tp polisi memang tdk bisa diandalkan dlm hal korupsi dan narkoba https://t.co/ugvidp twy",2023-06-22 11:56:14+00:00
embunsoree,,kawal terus kasus korupsi minyak goreng ini.. serba-serbi mmc https://t.co/mvvufvgtkz,2023-06-22 11:55:53+00:00
Korantalknews,,kpk sita peninggalan rafael alun di jakarta- manado senilai rp miliar https://t.co/hgjndlgimr,2023-06-22 11:55:52+00:00
Verraagustian_,,"urusan begini ramai,tapi urusan korupsi diem",2023-06-22 11:55:42+00:00
putucangkiriku,,kok lu tau drimana klo di formula gak ada korupsi..emang situ ahli hukum ya..setau gw lu itu rektor yg dipcat dri universitas ibnu kadrun..,2023-06-22 11:55:39+00:00
bamb_oe,,saya korupsi mohon dimaafkan ya karena saya manusia biasa yang mungkin salah input angka...mungkin itu yg biasa terjadi di sana ya,2023-06-22 11:55:29+00:00
Hayat_aL_Fatih,,"korupsi mendarah daging, surprise??",2023-06-22 11:54:58+00:00
parboaboa,,mahfud md minta kpk tindaklanjuti dugaan pungli rp miliar di rutan https://t.co/thlmmrzudq,2023-06-22 11:54:49+00:00
BangZenuri,,_kdg kalau kurang harta sitaan korupsi berupakan sembako bagikan juga ke masyarakat,2023-06-22 11:54:47+00:00
veryyal,,_yusuf info korupsi,2023-06-22 11:53:41+00:00
JUSTshortsNOW,,gue kalo gitu mau lah korupsi trilliun.. persidangan sopan.. nebus penjara juga.... emm trus duit yg dikorupsi lari kemana yak?,2023-06-22 11:53:29+00:00
0d6JK0B3,,"wah ini mah petaka, korupsi bakal makin gila' dan ini tingkat desa lho... tahun bisa dua kali. ini bener petaka, pak bang jika uu ini disahkan bukannya bencana",2023-06-22 11:52:50+00:00
Nhfaiqah14,,solusi untuk menghentikan korupsi? serba-serbi mmc https://t.co/m wudwed,2023-06-22 11:52:23+00:00
Ate53406105,,"mafia hukum adalah ibu dari segala mafia sebab dia menjadi alat penjahat (korupsi, narkoba, pungli, perdaganagn orng dll) yg bersembunyi dibalik seragam polisi, jaksa dan hakim alias oknum siapa yg sangup berantas mafia hukum lah biang masalahnya bos ku https://t.co/ rvqaq",2023-06-22 11:51:42+00:00
Metro_TV,,"komisi pemberantasan korupsi _ri akan menindak tegas para pegawai rutan kpk, yang terlibat dalam pungutan liar atau pungli bernilai miliaran rupiah. https://t.co/zezc ttr",2023-06-22 11:51:25+00:00
ponjadu70,,tahu darimana dia ga korupsi belum tentu prof orang ga bisa di lihat dari penampilan nya aja.,2023-06-22 11:51:14+00:00
G03NT03R_,,kalau salah dan ada bukti bukti kasus korupsi kelebihan bayar dan formula e. ya harus di proses mus. maling ayam saja kalau terbukti nyolong di bui mus.,2023-06-22 11:50:31+00:00
Rifky_Mozzza,,"biaya pendidikan yang mahal, pemerintah yang korupsi dan kesenjangan sosial yang nyata adalah mimpi buruk bagi anak muda yang ingin menggapai mimpinya.",2023-06-22 11:49:28+00:00
requisitoire,,"fantastis! mantan kadin perkebunan aceh barat diduga korupsi hingga rp miliar, kini ditahan jaksa https://t.co/i cujxzvcn",2023-06-22 11:49:13+00:00
BennyLantip,,"klo dapet sih ya dapet, nominal nya ya bisa segitu. masalah nya sisa dari itu kemana aja diusut lah. sebenarnya negara ini sdh lampu kuning dgn virus korupsi nya yg sdh kronis, tinggal nunggu kehancurannya doang",2023-06-22 11:49:08+00:00
ComIndotimur,,usut kasus korupsi uang mami sekertariat pemprov kejati malut periksa sejumlah asn perkuat alat bukti https://t.co/qvmdjbbs,2023-06-22 11:48:57+00:00
agoesismet78,,"_didu alasan yang dicari cari jntuk pembenaran. padahal di kpk itu adalah orang pilihan. mereka tidak sadarkah, atau mereka memang sengaja...? karena memang lagi musim korupsi dizamannya....???",2023-06-22 11:48:35+00:00
Penyair_Berdiri,,"kepada sebanyak pejabat yang dilantik dan diambil sumpahnya, berpesan agar selalu setia pada pakta integritas, setia pada ideologi negara &amp; komitmen melayani masyarakat dengan baik, terpenting tidak korupsi. https://t.co/jv zcxwf",2023-06-22 11:48:32+00:00
kudhel_baron,,"kayak gini minta perpanjangan jabatan, untung cuma setahun kalau tahun apa ngak tambah hancur pemberantasan korupsi",2023-06-22 11:48:24+00:00
kgani683,,_jsp kalo slogan katakan tidak pd korupsi ada ngga di museum sby,2023-06-22 11:47:34+00:00
MuhsinSamaan,,rakyat percaya mahasiswa ogah sama pemimpin negara semua rame rame korupsi makanya kpk si lemahkan agar bebas korupsi,2023-06-22 11:47:26+00:00
IlhamsetiawanK1,,@__anakkolong _perjuangan apa kabar kasus wadas apa kabar korupsi bank jateng. apa kabar korupsi ktp. apa kabar kemiskinan parah di jateng ???,2023-06-22 11:46:56+00:00
DaoedGauwan,,org ini tdk punya malu berani bicara korupsi tdk instropeksi diri,2023-06-22 11:46:44+00:00
skaehgus10,,kaa kasih tau azab orang yg korupsi dan flexin harta meninggalnyaa ketiban action figur apa ngga yaa,2023-06-22 11:44:28+00:00
Lay50690898,,"yalah ambil bagian, masa pejabatnya doang yg bergelimang harta korupsi. https://t.co/wsdynlz nt",2023-06-22 11:44:28+00:00
Ridyans,,korupsi itu enak ya (kalo gak ketahuan),2023-06-22 11:44:26+00:00
DHadibrata,,koruptor bicara korupsi,2023-06-22 11:44:10+00:00
zuljoelzul,,korupsi adalah budaya bangsa kita ~~,2023-06-22 11:43:28+00:00
GilangGstore123,,"semoga presiden yang terpilih di yang korupsi nya sedikit, karena kalo bersih ga percaya.",2023-06-22 11:42:45+00:00
BasriJ858,,"hahahaha katanya bawa perubahan,dan perbaikan tapi korupsi t. emang lah",2023-06-22 11:42:28+00:00
BeBuzzerNKRI,,"korupsi itu bukan berarti anies mendapatkan keuntungan sndr. tp penyalagunaan uang negara/perusahaan yg menguntungkan org lain pun termasuk dlm kejahatan korupsi. anda ini ktnya profesor, tp kok kagak tau sih pengertian korupsi?",2023-06-22 11:41:20+00:00
1973Suharjito,,"katakan tidak pada korupsi !!! ""dikit"""" slogan tipu tipu",2023-06-22 11:41:02+00:00
kelajuan_cahaya,,bapak pencetus korupsi..,2023-06-22 11:40:52+00:00
papabaaaik,,_hermaone permisi mohon maaf saya korupsi.....,2023-06-22 11:40:22+00:00
RavandhaL,,"_loren pak firly bukannya hanya berani di formula e, tetapi memang ada indikasi korupsi disitu, beliau bicara bgtu krn tau disitu sdh ada alat bukti yg cukup untuk menjadikan seseorang tersangka...itu penjelasan saya..eko.l",2023-06-22 11:39:53+00:00
AriMencari78,,ini buktinya klo anies baswedan korupsi. https://t.co/ogyz fhm,2023-06-22 11:39:51+00:00
limp71,,anies kagak korupsi bang..... cuma kelebihan bayar,2023-06-22 11:39:50+00:00
Teguh4124055689,,"gaji, fasilitas &amp; tunjangan dll..yang di bayar dari uang rakyat.. sdh sangat layak..masih korupsi juga kpk ini namanya pengkhianatan... hukum berat",2023-06-22 11:39:40+00:00
harian_momentum,,"korupsi retribusi sampah dlh, kaldera akui rutin terima uang tak resmi harian momentum https://t.co/y jlacsq",2023-06-22 11:37:54+00:00
ni_name79,,"sekian banyak komentar yg ane baca paling beberapa yg pro, selebihnya kontra, dr pd ngueuain politik mendidik sama sama koreksi, apakah kita tidak melakukan korupsi? bercermin dr diri sensiri akan jauh lebih baik dan bermanfaat....salam sehat selalu sedulur se tanah air",2023-06-22 11:37:42+00:00
teguhs1,,"ga perlu di bela. jika memang ""terbukti korupsi"" silahkan di tangkap, siapapun itu. tapi jika asal main tangkap dan kemudian tdk terbukti korupsi, maka sungguh bobrok sekali niat yg ada di balik itu semua. btw, kelanjutan kasus bts apa kabar? kok jd adem ayem saja..",2023-06-22 11:37:11+00:00
bayu_romawan,,pelanggaran maha berat kader (bacaleg) _id korupsi intoleransi kdrt poligami ada semua tuh surat pernyataanya waktu daftar.,2023-06-22 11:36:31+00:00
posaktualcom,,johnny g. plate disebut terima rp miliar dari kasus korupsi bts kominfo https://t.co/j geovfsct,2023-06-22 11:36:29+00:00
Panggil_Mad_aja,,bukannya kalo korupsi ketangkep itu harus ngembaliin harta yang telah dikorupsi,2023-06-22 11:35:29+00:00
DwiSundowo,,"fadli zon: korupsi adalah oli pembangunan (pelicin, pelumas) https://t.co/qctodq nz",2023-06-22 11:35:24+00:00
requisitoire,,"anies baswedan disebut bakal jadi tersangka, ini jawaban kpk https://t.co/kzrr iy .kpk",2023-06-22 11:35:24+00:00
OposisiCerdas,,denny indrayana sebut anies bakal jadi tersangka dugaan korupsi formula pernah diungkap mahfud md https://t.co/uaujluvsod,2023-06-22 11:34:59+00:00
NagaVVijaya,,"ga heran kl tambah lama tambah banyak korupsi. guru kencing berdiri, murid kencing koprol koprol..",2023-06-22 11:34:46+00:00
republikaonline,,"uu mengatur kewenangan kejaksaan menyelidiki perkara khusus, termasuk korupsi. https://t.co/qe okkcbpy",2023-06-22 11:33:32+00:00
wandystjk2,,"juru bicara partai demokrat, herzaky putra mahendra menyebut partainya telah lama mendengar kabar calon presiden (capres) anies baswedan bakal menjadi tersangka oleh komisi pemberantasan korupsi (kpk). oh, demokrat udah tau rupanya https://t.co/gz dauwmie",2023-06-22 11:33:29+00:00
Restoebumie21,,_yl gimana pak dengan pemberitaan anda tentang korupsi?,2023-06-22 11:33:28+00:00
EJ9913,,anies itu sudah akan jadi tersangka sebelum dicapreskan. dicapreskan nasdem dengan harapan bisa lepas karena sama-sama ada masalah korupsi. jangan dibalik balik seolah olah dijegal.,2023-06-22 11:32:53+00:00
lalunarie,,"gw kalo ga takut jadi tungku neraka, kemungkinan gw trilliun korupsinya kalo cuma karena sopan diringankan hukuman korupsi",2023-06-22 11:32:38+00:00
Darisrizal06,,"@__anakkolong _perjuangan prett, korupsi ktp dapat usd https://t.co/jddqk ehja",2023-06-22 11:32:06+00:00
idtodaycoid,,johnny g. plate disebut terima rp miliar dari kasus korupsi bts kominfo https://t.co/b xpi jdts,2023-06-22 11:31:30+00:00
sukaberjcanda,,"tahun t, korupsi jadi pekerjaan yg menarik.",2023-06-22 11:31:26+00:00
geloradotnews,,johnny g. plate disebut terima rp miliar dari kasus korupsi bts kominfo https://t.co/iifb ozrhu,2023-06-22 11:31:13+00:00
teh_talua85,,"bikin terus fitnah nya, yang nggak korupsi di fitnah terus yang benar benar korupsi hidup dengan tenang di negri ini... takut amat kalian anis jadi calon presiden baru calon loh",2023-06-22 11:30:54+00:00
Gannhatma,,@_memoryusang _udien koq ga ada tidak terkait kasus korupsi?,2023-06-22 11:30:20+00:00
geloraco,,johnny g. plate disebut terima rp miliar dari kasus korupsi bts kominfo https://t.co/ rcofcosfr,2023-06-22 11:28:11+00:00
Erwan86134286,,makin gila ia....dah tau pak anies..g korupsi..masih aja trus brusaha ggal kan pak anies..ia...smakin glap aja ni..,2023-06-22 11:27:57+00:00
perdatam33,,"korupsi, fee marketing, ketidakpastian hukum, keamanan, isu radikalisme",2023-06-22 11:27:38+00:00
Untungsuropa,,pks berkampanye melawan korupsi dan manipulasi untuk menjamin kesejahteraan rakyat.,2023-06-22 11:27:32+00:00
mariantonymf,,"mus, tau dari mana anies tidak korupsi? sama halnya kita juga tidak tau apakah anies korupsi. we never know. kita bukan malaikat raqib maupun atid. makanya jadi orang itu jangan terlalu fanatik, lama bisa jadi lunatic.",2023-06-22 11:26:36+00:00
Darisrizal06,,korupsi dan pungli sangat parah di rezim jokowi..kok punya presiden kayak begini amat...hancur bangsa ku tercinta,2023-06-22 11:26:26+00:00
Gunturwidadi1,,"ketua kpk yg harus anti korupsi,,,kalo ga pecat",2023-06-22 11:24:40+00:00
Atina_E,,voilaaaa!! itu bener bingitzz!! korupsi yg bikin skala prioritas belanja negara geser kanan kiri bukan lg u/ sebesar kemakmuran rakyat.,2023-06-22 11:24:30+00:00
Dwi_Ekaputri,,"pasti akan babak belur lah, mengingat korupsi di indonesia merajalela",2023-06-22 11:23:46+00:00
Bermartabat3,,"common enemy kita itu kemiskinan, korupsi, ketidak adilan.",2023-06-22 11:23:28+00:00
librazoo,,korupsi mendarah daging,2023-06-22 11:23:15+00:00
elaidiyes_,,korupsi,2023-06-22 11:22:16+00:00
inilahdotcom,,"komisi pemberantasan korupsi (kpk) menyita sekitar aset milik tersangka mantan pejabat dirjen pajak kementerian keuangan (kemenkeu), rafael alun trisambodo (rat), dengan total senilai rp miliar. “adapun total dari aset yang disita ini jumlahnya… https://t.co/k ap aa",2023-06-22 11:22:04+00:00
KangSuparmin,,ada gak om info kenapa ibas masih duduk nyaman tanpa tersentuh kasus korupsi ??,2023-06-22 11:21:51+00:00
Tembakoldilaut,,"ternyata ada yg dapat bocoran tuhan, yakin anies tdk korupsi padahal lihat laporan, tahu aja tdk kegiatan dlm formula e, klu anda yg urus proyeknya, atau anda yg periksa keuangannya, oke masuk akal",2023-06-22 11:21:43+00:00
ThohirSyarief,,kejagung bongkar kasus terus disaat kpk semangat memberantas korupsi,2023-06-22 11:20:50+00:00
tutura2003yaho1,,_ri _official _ugm man...syarman.... yg nguasai dpr itu koalisi yg ndukung pemerintahan... dikomandani pdip &amp; yg juara korupsi jg pdip.... inget juga jokowi tuh petugas partei pdip....mudeng gak masak petugas partei mo lawan yg kasih tugas.... otak dipakai man,2023-06-22 11:20:42+00:00
AmanSya46944420,,"kalau dekat ,dan menjilat penguasa ,, rezim,, biar pun korupsi bisa kok minta maaf,, selesai,,",2023-06-22 11:20:35+00:00
zona_raya,,kejaksaan tinggi jatim bongkar dokumen korupsi kredit fiktif bank bni rp miliar _ri https://t.co/kfvpn cn,2023-06-22 11:20:32+00:00
NegeriTuban,,"sidang perkara tindak pidana korupsi di pengadilan tindak pidana korupsi pada pengadilan negeri surabaya dengan agenda pemeriksaan saksi ahli perkara atas nama terdakwa budi utomo bin kasnan yang dihadiri oleh satria aji nugroho, s.h. selaku jaksa penuntut umum. https://t.co/p gdrfzpgz",2023-06-22 11:20:27+00:00
KoranTimor,,gubernur ntt dinilai seperti pilatus: cuci tangan dari persoalan human traficking dan korupsi https://t.co/diqew vpfk,2023-06-22 11:20:03+00:00
gusti_supartha,,bukannya lu juga terlibat kasus korupsi denni? katakan tidak pada (hal) kirupsi kan?,2023-06-22 11:19:42+00:00
monitorind,,"korupsi komoditas emas rp triliun, kejagung terus gali keterangan pegawai antam https://t.co/by eqqauo",2023-06-22 11:19:38+00:00
parboaboa,,kpk bentuk tim selidiki dugaan pungli rp miliar di rutan https://t.co/cmap hmk,2023-06-22 11:19:07+00:00
Julian303,,gak ada korupsi om ... jangan maksa gitu lah ...,2023-06-22 11:18:57+00:00
uhuyjoss,,sesuatu yang sukses tidak serta merta membuat orang yang korupsi menjadi bersih,2023-06-22 11:17:39+00:00
Harian_Jogja,,"pungli terjadi di rutan tahanan korupsi kpk, kasus bakal didalami https://t.co/b ruwogab https://t.co/jrvma leai",2023-06-22 11:17:06+00:00
teh_talua85,,bansos yang di korup mentri pdip gimana kesiapa saja itu dana mengalir diam diam aja giliran orang nggak korupsi malah di tuduh dan di bikin bikin berita nya,2023-06-22 11:16:42+00:00
tvOneNews,,"terjerat korupsi formula e, anies baswedan akan segera jadi tersangka kpk? https://t.co/uhhglbzc",2023-06-22 11:16:04+00:00
Teong135Teong,,_jsp katakan tidak pada korupsi,2023-06-22 11:15:57+00:00
dedesaeturasih,,boroboro mau korupsi :(((( https://t.co/svnngkx fn,2023-06-22 11:15:17+00:00
GenMediaNetwork,,komisi pemberantasan korupsi atau kpk menyita aset mantan pejabat direktorat jenderal pajak rafael alun trisambodo atas kasus dugaan menerima gratifikasi dari beberapa wajib pajak. https://t.co/nr gzh ktm,2023-06-22 11:15:16+00:00
Verraagustian_,,"biarin saja,kayanya ini cuma ramai menutupi kasus korupsi",2023-06-22 11:14:58+00:00
SuyadiPatmo,,jika formula di korupsi bapak maka tidak akan mungkin ada even formula ke itu bukti bahwa bapak bersih tanpa ada kepentingan pribadi kecuali hanya untuk masyarakat dki khususnya dan rakyat indonesia umumnya. mandalika???,2023-06-22 11:14:50+00:00
yunitadoggy,,"pintar banget ya opung itu. gak korupsi, tapi investasi yg ke indonesia tetap ngalir ke perusahaan milikny. mulai dri batubara skrg baterai. selagi presiden skrg blm turun, dimaksimalkan supaya dapat keuntungan sebesar nya. memang dabest !!",2023-06-22 11:12:20+00:00
ikhsanrofip,,"korupsi denda cuma juta. bilang ""anjing kau"" ke orang tua yang maling kaya gini boleh ga sih?",2023-06-22 11:10:22+00:00
PuanMaharAnu,,"netizen: jadi kalau ada rugi, ya wajarlah, karena di mana-mana namanya korupsi berjamaah ya memang rugi",2023-06-22 11:07:49+00:00
Ruwahel,,_mr budaya pemimpin indonesia koruptor .. budaya pemimpin jepang harakiri walaupun baru di indikasikan korupsi ... amdai indonesia punya pemimpin sprti jepang .. makmur lebih dr jepang indonesia.. https://t.co/klvivfbgih,2023-06-22 11:06:43+00:00
bayuarman,,"statement gw sih tetep sama ""not all teachers deserve respect"" ""banyak hal toxic manusia indonesia kayak diskriminasi, korupsi, cheating, dan hal gak jujur lain, mostly didapet dari sekolah""",2023-06-22 11:06:15+00:00
Metro_TV,,"rendahnya kualitas, bukan hanya dari sisi keterampilan, melainkan juga kualitas karakter. contoh dengan banyaknya asn yang berurusan dengan komisi antikorupsi karena menerima suap, melakukan korupsi, bukankah itu bukti nyata bahwa kualitas karakter asn kita memprihatinkan?",2023-06-22 11:06:06+00:00
HeruKecu,,itu namanya korupsi bukan sii kak?,2023-06-22 11:05:42+00:00
FirdausRR9,,https://t.co/ofg zifudu _ri segera ambil sikap atas dugaan kasus tindak pidana korupsi bupati bima kader partai golkar. dan kami pastinya akan hadir di depan gedung merah putih dalam waktu dekat.,2023-06-22 11:05:30+00:00
prikitiewman888,,tidak akan kami maafkan.... wong pemberantas korupsi malah korup,2023-06-22 11:04:32+00:00
kameradPyo,,"lah dulu ada yang korupsi, bangun yayasan buat bangun mesjid. mesjidnya iconic lagi sama semua bentuknya.",2023-06-22 11:04:28+00:00
gudangfactos,,korupsi udah jadi tabiat buruk sepertinya. bahkan masyarakat kecilpun melakukan 'petty corruption'. akibatnya pas jadi pejabat korupsi gede. gitu aja ngulang terus.,2023-06-22 11:04:09+00:00
WongRuwet2024,,hebat bermartabat.. tinggi tanpa merendahkan.. *mboten korupsi mboten ngapusi* https://t.co/rwdo wtv,2023-06-22 11:03:17+00:00
EfGe70,,pegawai bosok jadi pemberantas korupsi. mana bisa?,2023-06-22 11:03:02+00:00
RembukanPSI,,"juru bicara anti korupsi partai solidaritas indonesia (psi), irma hutabarat bersuara terhadap diamnya dpr terhadap megakorupsi triliun di kasus bts. dpr mestinya ikut bersuara karena besarnya nilai korupsi kasus ini.",2023-06-22 11:02:20+00:00
Cardi57958958,,"pendukung anis ga usah emosi, biarkan sajah hukum berjalan kl mang anis ga bersalah benar ga korupsi cuma kelenihan bayar selamat",2023-06-22 11:02:04+00:00
KtbRizman,,pidana tdk menyurutkan pengembalian uang korupsi,2023-06-22 11:01:45+00:00
historia_id,,pemberantasan korupsi di negeri ini telah lama dilakukan. lembaga-lembaga didirikan meski kemudian dibubarkan. https://t.co/ etlemajg,2023-06-22 11:00:02+00:00
idnayidnay,,_didu artinya ngaku ya.. proses hukum deh atau bubar kan aja ga manfaat penegak hukum kok mlh korupsi,2023-06-22 10:59:56+00:00
penasultra_id,,"korporasi, oligarki dan korupsi https://t.co/afyxfvmmce",2023-06-22 10:59:15+00:00
Sujiono050476,,"_firdaus maksa di penjara meski tanpa bukti yg jelas, hanya menangkap orang yg mengaku membawa uang untuk di berikan ke orang yg di tersangkakan. sementara kelompok banteng yg sudah jelas korupsi, bebas melenggang mau ikut nyapres",2023-06-22 10:58:26+00:00
agus_udayana,,idiiih yang udah ngerasain nikmatnya... skg koar ngata in korupsi makin merajalela...kwkwkwkkwkw,2023-06-22 10:55:37+00:00
jack_anto0,,_id anjloknya pemberantasan korupsi di era mas jokowi. https://t.co/sqxhnzh db,2023-06-22 10:53:20+00:00
dixie_pp,,"kpk cukup diam saja. maka org sdh bisa mengatakan pak anies adlh calon tersangka korupsi dgn dasar sumber dr pernyataan denny indrayana. ""pak anies, anda akan jd tersangka korupsi ya? berdasar dr info yg di sampaikan denny indrayana."" masa tiap kampanye muncul pertanyaan bgtu.",2023-06-22 10:52:39+00:00
BagongBodronoyo,,berarti bisa jadi sama saat jd mendikbud bebas korupsi karna di perintah agar tidak di jadikan tersangka,2023-06-22 10:50:48+00:00
